ID,Second_ID,First_name,Last_Name,Computer Networks,Signals and Systems,Databases,Calculus,Operating Systems
2179395262,2179395262,Reza Till,Hami,18,10,15,1,15
6656151987,6656151987,Ali Ehsan,Jalali,19,13,13,15,6
1654877122,1654877122,Reza Jack,Sharbaaf,12,20,20,5,8
9204278207,9204278207,Reza Hashem,Balochi,10,8,9,2,17
8964864644,8964864644,Jack Master,Hami,16,16,1,13,2
7979283731,7979283731,Chief Hashem,Balochi,13,20,0,18,11
1844879996,1844879996,Master Hashem,Mahi,20,20,15,15,3
7567369832,7567369832,Master Jack,Mahi,4,0,20,2,9
5810449641,5810449641,Ali Mohammad,Sharbaaf,7,18,18,1,9
9620235210,9620235210,Ali Ehsan,Jafari,13,11,5,1,3
5199104125,5199104125,Kamal Mohammad,Rastegari,20,10,7,6,13
3164907251,3164907251,Jack Kamal,Balochi,16,2,12,7,15
7865089538,7865089538,Mohammad Reza,Mohebi,12,13,1,1,16
8780224632,8780224632,Ehsan Reza,Balochi,5,9,8,19,6
3499580836,3499580836,James Jack,Balochi,9,7,12,10,0
3331735682,3331735682,Reza Hashem,Mohebi,14,0,3,19,6
0910602113,0910602113,Ali Kamal,Jafari,0,3,6,20,3
3848890812,3848890812,Till Mohammad,Sharbaaf,18,16,0,19,13
1665196994,1665196994,Kamal Ehsan,Mahi,19,5,19,12,16
5795452953,5795452953,Kamal Kamal,Mahi,10,8,13,13,6
5974633053,5974633053,Jack Hashem,Jalali,13,7,10,0,20
8188838582,8188838582,Mohammad Ehsan,Sharbaaf,16,9,2,18,2
0814189971,0814189971,James Chief,Jalali,5,9,3,6,7
4680210026,4680210026,Reza Till,Mahi,19,13,5,4,20
0843838625,0843838625,Mohammad Kamal,Mohebi,3,8,6,17,18
9567475422,9567475422,James Till,Rastegari,5,11,1,18,14
2767677797,2767677797,Jack Mohammad,Mohebi,16,5,16,16,9
9361108358,9361108358,Jack Till,Sharbaaf,4,2,1,1,4
2216441892,2216441892,James Master,Jalali,2,3,13,17,3
4556987733,4556987733,Ehsan Mohammad,Rastegari,15,3,16,12,0
9687758294,9687758294,James Chief,Mahi,8,1,6,2,16
5943106804,5943106804,Master Kamal,Balochi,11,8,16,12,13
5953087437,5953087437,Jack Till,Mahi,4,5,8,13,9
7611532299,7611532299,Hashem James,Mahi,13,15,1,8,15
2303838279,2303838279,Ehsan Ehsan,Balochi,20,9,20,1,4
8004557502,8004557502,Till Hashem,Jafari,18,11,3,1,14
1326670105,1326670105,Hashem Mohammad,Jafari,6,6,0,0,15
9188327537,9188327537,Reza James,Mohebi,19,12,20,0,5
6135981791,6135981791,James Till,Sharbaaf,11,5,15,2,4
0393087211,0393087211,James Hashem,Sharbaaf,13,5,8,5,6
1772622257,1772622257,Till Master,Balochi,3,0,16,0,10
5197346177,5197346177,Till Till,Sharbaaf,19,17,2,20,6
3340416964,3340416964,Jack Ehsan,Jalali,10,0,4,15,16
6076663009,6076663009,Reza Ali,Mohebi,10,2,0,8,19
0480997272,0480997272,James James,Rastegari,6,6,17,12,11
4723915972,4723915972,Till Reza,Jafari,7,5,4,19,2
3168091759,3168091759,Till James,Jafari,9,9,1,12,17
2412406860,2412406860,Jack Mohammad,Mohebi,6,17,7,18,8
3511673732,3511673732,Reza James,Hami,20,4,1,3,11
0135873064,0135873064,Mohammad Master,Mahi,13,6,8,0,10
0782818030,0782818030,Ali James,Hami,5,20,18,0,11
2181084911,2181084911,James James,Mohebi,15,15,17,10,9
0423922070,0423922070,Reza Mohammad,Rastegari,8,11,13,1,3
4127745580,4127745580,Ali Till,Rastegari,5,3,15,20,19
4594918210,4594918210,Chief Jack,Sharbaaf,18,13,7,3,16
9681006359,9681006359,Ehsan Ali,Mohebi,18,1,13,11,12
