ID,Second_ID,First_name,Last_Name,Computer Networks,Signals and Systems,Databases,Calculus,Operating Systems
6055991274,6055991274,Master James,Rastegari,13,9,1,6,17
0684187357,0684187357,Mohammad Reza,Mohebi,15,6,17,5,11
8807600214,8807600214,Ehsan Mohammad,Jalali,2,20,1,16,20
1643196393,1643196393,Hashem Mohammad,Hami,1,14,6,11,4
0663215551,0663215551,Jack Master,Mohebi,19,8,11,11,1
7781701590,7781701590,Hashem Mohammad,Mahi,17,5,17,9,11
5294314443,5294314443,Kamal Mohammad,Jafari,7,11,7,3,5
3498552033,3498552033,Ali Jack,Jafari,8,1,8,0,4
0604387952,0604387952,Jack Reza,Balochi,2,5,13,11,16
9319123283,9319123283,Master Till,Mohebi,6,18,4,14,20
6923775477,6923775477,Chief Reza,Sharbaaf,10,19,5,16,17
6803631311,6803631311,Chief Kamal,Mohebi,8,17,10,3,18
1792615165,1792615165,Mohammad Jack,Jalali,1,9,7,2,8
7773386579,7773386579,Till Master,Balochi,8,17,2,20,8
4773584281,4773584281,Till Chief,Rastegari,19,19,4,12,15
6973880406,6973880406,Till Chief,Mohebi,4,2,5,20,5
9302791852,9302791852,James Till,Sharbaaf,12,17,6,14,19
7188525331,7188525331,James James,Jalali,12,18,16,17,0
5832073927,5832073927,Master Hashem,Jalali,0,7,10,10,15
1230454641,1230454641,Ehsan Ehsan,Mohebi,16,18,2,0,7
2137904945,2137904945,Till Reza,Jalali,9,9,1,10,11
4329224407,4329224407,Till Kamal,Hami,10,10,12,11,10
7078745650,7078745650,Master Master,Hami,10,13,20,1,11
9006490709,9006490709,Jack Hashem,Jalali,14,13,13,9,18
3306250327,3306250327,Mohammad Mohammad,Sharbaaf,14,1,19,8,7
4725872904,4725872904,Hashem James,Hami,13,3,5,19,19
3044550698,3044550698,Chief Hashem,Hami,8,14,16,11,14
2073641255,2073641255,Mohammad Reza,Balochi,4,10,13,16,1
5385730431,5385730431,Ali Kamal,Jalali,16,7,5,7,1
6414517516,6414517516,Jack Chief,Jalali,12,7,10,15,18
6922113424,6922113424,Master Master,Balochi,9,15,5,5,17
2921896135,2921896135,James Jack,Hami,3,3,19,9,18
2101760944,2101760944,Ehsan Reza,Mohebi,8,8,3,15,11
2378276057,2378276057,Kamal Ehsan,Jalali,2,12,4,18,7
9977573734,9977573734,Jack Mohammad,Rastegari,17,16,4,16,17
3580447562,3580447562,Kamal Reza,Jalali,5,15,6,11,12
0890632518,0890632518,Mohammad Chief,Mohebi,17,3,15,14,16
8097430532,8097430532,Master Hashem,Jafari,12,17,5,0,4
3700732808,3700732808,Kamal Ehsan,Balochi,0,8,10,2,14
1415012449,1415012449,Jack Reza,Balochi,18,7,3,0,2
6414602080,6414602080,Hashem Chief,Sharbaaf,6,13,18,14,15
3791081260,3791081260,Till Reza,Mohebi,0,18,19,14,17
8353420996,8353420996,Hashem Ehsan,Balochi,11,0,2,0,8
8495152301,8495152301,Reza Jack,Sharbaaf,6,8,1,3,13
1557204344,1557204344,Ehsan Chief,Mohebi,19,6,14,9,9
5542147138,5542147138,Ali Mohammad,Jalali,12,11,12,17,17
3926460251,3926460251,Ali Kamal,Jafari,18,17,12,18,18
9184254437,9184254437,Till Kamal,Jalali,17,9,8,11,4
1901279414,1901279414,Hashem Reza,Rastegari,6,1,6,4,13
4769072685,4769072685,Chief Chief,Rastegari,10,9,2,8,10
1496596248,1496596248,James Hashem,Balochi,2,0,19,12,15
8605254350,8605254350,James Master,Balochi,5,8,14,1,5
0695572693,0695572693,Kamal James,Jafari,8,1,13,17,3
1781113219,1781113219,Jack Mohammad,Mahi,4,14,3,14,3
4155744454,4155744454,Chief Chief,Sharbaaf,18,14,19,6,9
2925015390,2925015390,Master Ehsan,Mohebi,17,3,2,13,13
4294234672,4294234672,Ehsan Mohammad,Mahi,9,13,5,0,17
6983506978,6983506978,Master Mohammad,Jalali,7,6,7,9,9
4244070750,4244070750,Reza James,Balochi,8,16,10,3,19
5793085988,5793085988,Jack Jack,Jalali,4,0,13,7,1
0114660489,0114660489,Kamal Kamal,Sharbaaf,3,13,19,19,2
0687915479,0687915479,Master Kamal,Mohebi,17,19,13,13,12
7164432762,7164432762,Chief Jack,Sharbaaf,15,10,10,12,1
7806430294,7806430294,James Reza,Mohebi,15,19,11,5,0
9113764478,9113764478,Master Chief,Hami,5,12,12,18,20
