ID,Second_ID,First_name,Last_Name,Computer Networks,Signals and Systems,Databases,Calculus,Operating Systems
1541991972,1541991972,Ali Jack,Hami,13,7,2,0,1
4684262839,4684262839,Hashem Master,Mahi,6,9,5,12,12
8943829145,8943829145,Ali Ehsan,Balochi,7,19,14,1,5
8355443914,8355443914,Hashem Till,Jafari,11,3,11,0,6
9132084673,9132084673,Hashem Mohammad,Hami,18,7,15,10,7
8527464773,8527464773,Reza James,Hami,18,0,17,13,5
3012244139,3012244139,Mohammad James,Mahi,5,17,4,9,18
6898632966,6898632966,Mohammad Ehsan,Jalali,13,1,17,10,17
0740826758,0740826758,Chief Hashem,Sharbaaf,19,16,5,7,10
5472431875,5472431875,Hashem James,Rastegari,7,12,1,12,0
1634502134,1634502134,Mohammad Chief,Rastegari,13,5,2,11,9
7363017538,7363017538,Ali Reza,Sharbaaf,4,17,19,1,16
1286018814,1286018814,Till James,Hami,7,9,6,10,7
5009101733,5009101733,Mohammad Jack,Sharbaaf,7,16,2,8,14
6693977840,6693977840,Jack Jack,Sharbaaf,14,16,19,10,14
9848592436,9848592436,Till James,Jafari,20,2,9,12,3
8953797798,8953797798,Jack Mohammad,Jalali,3,6,12,16,16
4069214036,4069214036,Mohammad Mohammad,Sharbaaf,16,8,2,10,5
8101354181,8101354181,Kamal Jack,Sharbaaf,2,10,5,0,18
0415836916,0415836916,Till Chief,Rastegari,14,18,1,7,3
2506940932,2506940932,Chief Till,Hami,19,18,10,11,16
7517716138,7517716138,Chief Master,Jalali,16,2,19,19,3
4739968134,4739968134,Jack Hashem,Rastegari,13,1,17,20,9
5747459107,5747459107,Chief Ehsan,Mahi,6,17,7,12,8
1177739586,1177739586,Ali Till,Sharbaaf,18,19,5,19,9
0334859518,0334859518,Ehsan Mohammad,Sharbaaf,18,14,10,20,4
3095707099,3095707099,Mohammad Ehsan,Hami,11,10,2,15,6
0306981712,0306981712,Ehsan Mohammad,Rastegari,10,19,5,18,5
2053831841,2053831841,James James,Jafari,12,1,4,11,15
5993389776,5993389776,Master Jack,Sharbaaf,18,10,13,2,16
4330419595,4330419595,Jack Reza,Balochi,8,10,10,3,4
1233768179,1233768179,James Hashem,Mohebi,14,16,10,7,19
4723786500,4723786500,Ali Master,Jalali,12,10,1,9,9
6102008969,6102008969,Hashem Mohammad,Balochi,18,5,12,20,7
3883221578,3883221578,Master Till,Rastegari,1,4,6,0,13
0556209787,0556209787,Hashem Mohammad,Balochi,1,3,16,8,6
7902066500,7902066500,Kamal Ehsan,Hami,2,7,10,8,4
0897932986,0897932986,Ali Mohammad,Rastegari,4,5,12,9,17
5862589455,5862589455,James Master,Balochi,18,18,8,14,4
8442593462,8442593462,Reza Ehsan,Rastegari,16,18,18,16,19
4363037723,4363037723,Ali Mohammad,Mahi,7,12,0,14,9
1965405322,1965405322,Hashem James,Sharbaaf,10,9,10,7,1
3727560910,3727560910,Till Mohammad,Sharbaaf,20,2,19,4,5
3611497185,3611497185,James James,Rastegari,9,10,5,11,3
3102330248,3102330248,Till Ali,Mahi,11,19,4,5,12
6029178578,6029178578,Ali Master,Rastegari,3,11,8,4,1
6375562521,6375562521,Master James,Sharbaaf,12,8,17,17,10
9707692332,9707692332,Master Jack,Rastegari,16,2,15,0,13
6033746914,6033746914,Jack Reza,Jalali,10,4,15,17,2
3033237623,3033237623,Kamal Master,Jalali,17,8,5,4,9
8859106560,8859106560,Ehsan Mohammad,Hami,1,20,8,2,7
7703668304,7703668304,Till Jack,Sharbaaf,18,4,10,1,10
8708161080,8708161080,Ali Ehsan,Jalali,2,4,15,12,10
9875420597,9875420597,Ali Ali,Balochi,14,15,7,16,19
1784567640,1784567640,Reza Kamal,Rastegari,4,2,7,14,15
7358455061,7358455061,Chief James,Balochi,5,4,17,8,8
1038047477,1038047477,Chief Mohammad,Jafari,15,13,20,17,14
7608595133,7608595133,Reza Reza,Mohebi,1,2,20,8,2
0920996646,0920996646,Ali James,Jafari,11,2,15,1,5
6759112929,6759112929,Till Mohammad,Balochi,10,12,20,12,10
2398108930,2398108930,Ali Ehsan,Jalali,3,9,0,12,7
8016624414,8016624414,Chief Ehsan,Mohebi,6,10,17,5,5
9142315748,9142315748,Ehsan Ehsan,Balochi,11,3,8,6,2
2820895598,2820895598,Chief Kamal,Mahi,10,3,5,15,20
2897920298,2897920298,Jack Master,Jafari,8,20,15,20,7
4734361306,4734361306,Reza Chief,Jafari,17,11,13,10,20
7738225615,7738225615,Ehsan Reza,Rastegari,8,5,6,4,6
9871404055,9871404055,James Mohammad,Jafari,12,10,6,7,4
7580681760,7580681760,Kamal Mohammad,Hami,0,8,7,5,20
0236038125,0236038125,Reza Mohammad,Sharbaaf,1,17,8,5,20
2478374484,2478374484,Mohammad Ehsan,Balochi,20,12,13,8,9
8881037092,8881037092,James Till,Mahi,19,2,15,1,12
